level,origin_type,origin_name,filename,relative_path,reference_filename,reference_relative_path,source_filename,classification_basis,asset_status,resolution,color_mode
04,B03-FLO,Flora_&_Fungi,aachat-forge-flora-moss-beetle-ranger.png,B03-FLO__Flora_&_Fungi/aachat-forge-flora-moss-beetle-ranger.png,aachat-level-04-b03-flo-001-moss-beetle-ranger-256.png,B03-FLO__Flora_&_Fungi/aachat-level-04-b03-flo-001-moss-beetle-ranger-256.png,aachat-agent-p03-001-moss-beetle-ranger-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B04-CUL,Culinary,aachat-forge-culinary-bubble-tea-alchemist.png,B04-CUL__Culinary/aachat-forge-culinary-bubble-tea-alchemist.png,aachat-level-04-b04-cul-002-bubble-tea-alchemist-256.png,B04-CUL__Culinary/aachat-level-04-b04-cul-002-bubble-tea-alchemist-256.png,aachat-agent-p03-002-bubble-tea-alchemist-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B05-MEC,Machine,aachat-forge-machine-clockwork-tinkerer.png,B05-MEC__Machine/aachat-forge-machine-clockwork-tinkerer.png,aachat-level-04-b05-mec-003-clockwork-tinkerer-256.png,B05-MEC__Machine/aachat-level-04-b05-mec-003-clockwork-tinkerer-256.png,aachat-agent-p03-003-clockwork-tinkerer-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B01-HUM,Humanoid,aachat-forge-humanoid-parcel-courier.png,B01-HUM__Humanoid/aachat-forge-humanoid-parcel-courier.png,aachat-level-04-b01-hum-004-parcel-courier-256.png,B01-HUM__Humanoid/aachat-level-04-b01-hum-004-parcel-courier-256.png,aachat-agent-p03-004-parcel-courier-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B01-HUM,Humanoid,aachat-forge-humanoid-street-skater.png,B01-HUM__Humanoid/aachat-forge-humanoid-street-skater.png,aachat-level-04-b01-hum-005-street-skater-256.png,B01-HUM__Humanoid/aachat-level-04-b01-hum-005-street-skater-256.png,aachat-agent-p03-005-street-skater-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B01-HUM,Humanoid,aachat-forge-humanoid-brass-band-trumpeter.png,B01-HUM__Humanoid/aachat-forge-humanoid-brass-band-trumpeter.png,aachat-level-04-b01-hum-006-brass-band-trumpeter-256.png,B01-HUM__Humanoid/aachat-level-04-b01-hum-006-brass-band-trumpeter-256.png,aachat-agent-p03-006-brass-band-trumpeter-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B05-MEC,Machine,aachat-forge-machine-signal-technician.png,B05-MEC__Machine/aachat-forge-machine-signal-technician.png,aachat-level-04-b05-mec-007-signal-technician-256.png,B05-MEC__Machine/aachat-level-04-b05-mec-007-signal-technician-256.png,aachat-agent-p03-007-signal-technician-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B01-HUM,Humanoid,aachat-forge-humanoid-potion-witch.png,B01-HUM__Humanoid/aachat-forge-humanoid-potion-witch.png,aachat-level-04-b01-hum-008-potion-witch-256.png,B01-HUM__Humanoid/aachat-level-04-b01-hum-008-potion-witch-256.png,aachat-agent-p03-008-potion-witch-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B08-NAT,Nature_&_Element,aachat-forge-nature-comet-surveyor.png,B08-NAT__Nature_&_Element/aachat-forge-nature-comet-surveyor.png,aachat-level-04-b08-nat-009-comet-surveyor-256.png,B08-NAT__Nature_&_Element/aachat-level-04-b08-nat-009-comet-surveyor-256.png,aachat-agent-p03-009-comet-surveyor-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
04,B02-FAU,Fauna,aachat-forge-fauna-matsuri-fox-dancer.png,B02-FAU__Fauna/aachat-forge-fauna-matsuri-fox-dancer.png,aachat-level-04-b02-fau-010-matsuri-fox-dancer-256.png,B02-FAU__Fauna/aachat-level-04-b02-fau-010-matsuri-fox-dancer-256.png,aachat-agent-p03-010-matsuri-fox-dancer-256.png,full visual review: named Level 04 design motif,native-master,1254x1254,RGBA
