noun_id,page_index,category,category_name,head,reason,file,classification_method
"1972","0","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1972__head-wall.png","visual audit of representative image for each of 258 head types"
"1971","1","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1971__head-wall.png","visual audit of representative image for each of 258 head types"
"1970","2","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1970__head-wall.png","visual audit of representative image for each of 258 head types"
"1969","3","B06-OBJ","Artifact & Architecture","head-fence","代表画像を目視確認した主要頭部モチーフ: fence","B06-OBJ__Artifact_&_Architecture/noun-1969__head-fence.png","visual audit of representative image for each of 258 head types"
"1968","4","B05-MEC","Machine","head-mixer","代表画像を目視確認した主要頭部モチーフ: mixer","B05-MEC__Machine/noun-1968__head-mixer.png","visual audit of representative image for each of 258 head types"
"1967","5","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1967__head-wall.png","visual audit of representative image for each of 258 head types"
"1966","6","B02-FAU","Fauna","head-dino","代表画像を目視確認した主要頭部モチーフ: dino","B02-FAU__Fauna/noun-1966__head-dino.png","visual audit of representative image for each of 258 head types"
"1965","7","B02-FAU","Fauna","head-owl","代表画像を目視確認した主要頭部モチーフ: owl","B02-FAU__Fauna/noun-1965__head-owl.png","visual audit of representative image for each of 258 head types"
"1964","8","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1964__head-wall.png","visual audit of representative image for each of 258 head types"
"1963","9","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1963__head-wall.png","visual audit of representative image for each of 258 head types"
"1962","10","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1962__head-wall.png","visual audit of representative image for each of 258 head types"
"1961","11","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1961__head-wall.png","visual audit of representative image for each of 258 head types"
"1960","12","B08-NAT","Nature & Element","head-wave","代表画像を目視確認した主要頭部モチーフ: wave","B08-NAT__Nature_&_Element/noun-1960__head-wave.png","visual audit of representative image for each of 258 head types"
"1959","13","B06-OBJ","Artifact & Architecture","head-bagpipe","代表画像を目視確認した主要頭部モチーフ: bagpipe","B06-OBJ__Artifact_&_Architecture/noun-1959__head-bagpipe.png","visual audit of representative image for each of 258 head types"
"1958","14","B08-NAT","Nature & Element","head-jupiter","代表画像を目視確認した主要頭部モチーフ: jupiter","B08-NAT__Nature_&_Element/noun-1958__head-jupiter.png","visual audit of representative image for each of 258 head types"
"1957","15","B09-ECH","Secret Echo","head-dna","代表画像を目視確認した主要頭部モチーフ: dna","B09-ECH__Secret_Echo/noun-1957__head-dna.png","visual audit of representative image for each of 258 head types"
"1956","16","B06-OBJ","Artifact & Architecture","head-wall","代表画像を目視確認した主要頭部モチーフ: wall","B06-OBJ__Artifact_&_Architecture/noun-1956__head-wall.png","visual audit of representative image for each of 258 head types"
"1955","17","B02-FAU","Fauna","head-mouse","代表画像を目視確認した主要頭部モチーフ: mouse","B02-FAU__Fauna/noun-1955__head-mouse.png","visual audit of representative image for each of 258 head types"
"1954","18","B06-OBJ","Artifact & Architecture","head-treasurechest","代表画像を目視確認した主要頭部モチーフ: treasurechest","B06-OBJ__Artifact_&_Architecture/noun-1954__head-treasurechest.png","visual audit of representative image for each of 258 head types"
"1953","19","B04-CUL","Culinary","head-chilli","代表画像を目視確認した主要頭部モチーフ: chilli","B04-CUL__Culinary/noun-1953__head-chilli.png","visual audit of representative image for each of 258 head types"
"1952","20","B06-OBJ","Artifact & Architecture","head-snowman","代表画像を目視確認した主要頭部モチーフ: snowman","B06-OBJ__Artifact_&_Architecture/noun-1952__head-snowman.png","visual audit of representative image for each of 258 head types"
"1951","21","B08-NAT","Nature & Element","head-saturn","代表画像を目視確認した主要頭部モチーフ: saturn","B08-NAT__Nature_&_Element/noun-1951__head-saturn.png","visual audit of representative image for each of 258 head types"
"1950","22","B06-OBJ","Artifact & Architecture","head-piano","代表画像を目視確認した主要頭部モチーフ: piano","B06-OBJ__Artifact_&_Architecture/noun-1950__head-piano.png","visual audit of representative image for each of 258 head types"
"1949","23","B04-CUL","Culinary","head-steak","代表画像を目視確認した主要頭部モチーフ: steak","B04-CUL__Culinary/noun-1949__head-steak.png","visual audit of representative image for each of 258 head types"
"1948","24","B06-OBJ","Artifact & Architecture","head-cassettetape","代表画像を目視確認した主要頭部モチーフ: cassettetape","B06-OBJ__Artifact_&_Architecture/noun-1948__head-cassettetape.png","visual audit of representative image for each of 258 head types"
"1947","25","B06-OBJ","Artifact & Architecture","head-ring","代表画像を目視確認した主要頭部モチーフ: ring","B06-OBJ__Artifact_&_Architecture/noun-1947__head-ring.png","visual audit of representative image for each of 258 head types"
"1946","26","B05-MEC","Machine","head-washingmachine","代表画像を目視確認した主要頭部モチーフ: washingmachine","B05-MEC__Machine/noun-1946__head-washingmachine.png","visual audit of representative image for each of 258 head types"
